Altura,V1.inf,V1.sup,V2.inf,V2.sup,V3
"1,47",54,64,65,86,87
"1,5",56,67,67,89,90
"1,52",58,69,69,92,93
"1,55",60,71,72,95,96
"1,57",62,74,74,98,99
"1,6",64,76,77,102,102
"1,63",66,78,79,105,105
"1,65",68,81,82,108,109
"1,68",70,84,84,112,112
"1,7",72,86,87,115,116
"1,73",74,89,89,118,119
"1,75",77,92,92,122,122
"1,78",79,94,95,126,126
"1,8",81,97,98,129,130
"1,83",83,100,100,133,133
"1,85",86,103,103,137,137
"1,88",88,105,106,141,141
"1,91",91,108,109,144,144
"1,93",93,111,112,148,149